Description HP Physical Defense Magic Speed
Dreepy 28 60 30 40 97
Dreepy 28 60 30 40 97
Dreepy 28 60 30 40 97
Dreepy 28 60 30 40 97
Applin 40 40 80 40 20
Applin 40 40 80 40 20
Applin 40 40 80 40 20
Applin 40 40 80 40 20
Sinistea 40 45 45 74 50
Sinistea 40 45 45 74 50
Sinistea 40 45 45 74 50
Sinistea 40 45 45 74 50
Gossifleur 65 40 60 55 10
Gossifleur 65 40 60 55 10
Gossifleur 65 40 60 55 10
Gossifleur 65 40 60 55 10
Wooloo 42 40 55 40 48
Wooloo 42 40 55 40 48
Wooloo 42 40 55 40 48
Milcery 45 40 40 50 34
Milcery 45 40 40 50 34
Milcery 45 40 40 50 34
Scorbunny 50 71 40 40 69
Scorbunny 50 71 40 40 69
Scorbunny 50 71 40 40 69
Sobble 50 40 40 70 70
Sobble 50 40 40 70 70
Sobble 50 40 40 70 70
Grookey 50 65 50 40 65
Grookey 50 65 50 40 65
Grookey 50 65 50 40 65
Morpeko 58 95 58 70 82
Morpeko 58 95 58 70 82
Morpeko 58 95 58 70 82
Yamper 59 45 65 40 26
Yamper 59 45 65 40 26
Yamper 59 45 65 40 26
Eiscue 75 35 80 65 50
Eiscue 75 35 80 65 50
Eiscue 75 35 80 65 50

